Phrase	IPA	SoundsLike	DisplayAs
gumanawinda			gumanawinda
tmnba			tmnba
djambar			djambar
awinganari			awinganari
dadjin			dadjin
gadnangara			gadnangara
napior			napior
shuffling			shuffling
hupguhuy			hupguhuy
joho			joho
tides			tides
nllowr			nllowr
mejiri			mejiri
majiga			majiga
wurinina			wurinina
djug			djug
niiniwon			niiniwon
buch			buch
maninga			maninga
cfomceai			cfomceai
dredmo			dredmo
neld			neld
nargn			nargn
alpuc			alpuc
ngalengga			ngalengga
binicara			binicara
handjina			handjina
cliildren			cliildren
neeany			neeany
shouldbe			shouldbe
hurming			hurming
iglana			iglana
tezii			tezii
njaringa			njaringa
dipo			dipo
wulugjar			wulugjar
dueay			dueay
widwid			widwid
oueti			oueti
imina			imina
emofp			emofp
ending			ending
budmeng			budmeng
pers			pers
feupfu			feupfu
wunsarinyir			wunsarinyir
lanarga			lanarga
hreaking			hreaking
yjada			yjada
birix			birix
budmari			budmari
irimanjirinja			irimanjirinja
arunare			arunare
camnta			camnta
magu			magu
henfer			henfer
wandjiroit			wandjiroit
eputp			eputp
wosle			wosle
nteini			nteini
elrw			elrw
henelemiy			henelemiy
grasehopper			grasehopper
nemnan			nemnan
shoulderst			shoulderst
goridju			goridju
scoop			scoop
andrebinidi			andrebinidi
nindiniineri			nindiniineri
mandjandi			mandjandi
prof			prof
umnh			umnh
aninmy			aninmy
rovmn			rovmn
sjkapoc			sjkapoc
flank			flank
wuln			wuln
unfa			unfa
shre			shre
ishen			ishen
marijangu			marijangu
runjeri			runjeri
awanjindu			awanjindu
outward			outward
lawuna			lawuna
differmt			differmt
langumanga			langumanga
lufunu			lufunu
gulagararingendju			gulagararingendju
irijange			irijange
peerindir			peerindir
epl			epl
narguwarina			narguwarina
panion			panion
wunnriniinge			wunnriniinge
ganinja			ganinja
bongan			bongan
nialandjin			nialandjin
ameranga			ameranga
djudu			djudu
einariey			einariey
dootor			dootor
hawa			hawa
ugieu			ugieu
walmidi			walmidi
vanden			vanden
awinnari			awinnari
bandarimalan			bandarimalan
alaeumd			alaeumd
walir			walir
birwin			birwin
pioaox			pioaox
mesil			mesil
nssu			nssu
bidinmin			bidinmin
otm			otm
linloninr			linloninr
hae			hae
nabunna			nabunna
wuruman			wuruman
pandgin			pandgin
jowandjal			jowandjal
inyr			inyr
vidi			vidi
foisoning			foisoning
cotton			cotton
djowulhija			djowulhija
hrolce			hrolce
wolo			wolo
njerinja			njerinja
tanen			tanen
yawing			yawing
gunduwa			gunduwa
vururu			vururu
embraced			embraced
aplece			aplece
leff			leff
uefofu			uefofu
mowaldjali			mowaldjali
idiomatic			idiomatic
beramne			beramne
aob			aob
oby			oby
njimalandoninja			njimalandoninja
fpuupiy			fpuupiy
aledoud			aledoud
onlookers			onlookers
doco			doco
leue			leue
xymara			xymara
ganmengaia			ganmengaia
begged			begged
gulbudug			gulbudug
topt			topt
bajbaj			bajbaj
tum			tum
boab			boab
pleles			pleles
majaramara			majaramara
worshipped			worshipped
srnhod			srnhod
wuns			wuns
reuens			reuens
xjala			xjala
andoninja			andoninja
niindn			niindn
wurunari			wurunari
afutrs			afutrs
nuwanjinga			nuwanjinga
showed			showed
srin			srin
blag			blag
gadjenguru			gadjenguru
litile			litile
musn			musn
buruwowungara			buruwowungara
gudbagudba			gudbagudba
gadug			gadug
liaoes			liaoes
anulunaranja			anulunaranja
bandiri			bandiri
duron			duron
sseoru			sseoru
uinr			uinr
jajaru			jajaru
nalumboi			nalumboi
nangunangu			nangunangu
warbunuwa			warbunuwa
vag			vag
rululi			rululi
signified			signified
steal			steal
wandimi			wandimi
tunu			tunu
gndam			gndam
outline			outline
troublers			troublers
andubunanga			andubunanga
debaranga			debaranga
guluj			guluj
eseul			eseul
lovely			lovely
onc			onc
bingala			bingala
nadaranja			nadaranja
muganance			muganance
marindjun			marindjun
baidj			baidj
iruwa			iruwa
bundarijali			bundarijali
